index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
7,2006-03-01,19.6795,-155.79903,0,0,0,0,0,14,74,4,0,0,0,0,0,0,0,11,75,6,0,3,13,65,11,0,1,5,81,5,0,0,17,59,16,0,1
14,2006-03-01,21.32913,-158.08727,0,0,0,0,8,33,41,9,0,0,0,0,0,0,0,1,88,3,0,2,16,66,8,0,0,3,89,0,0,1,12,62,17,0,1
17,2006-03-01,19.83736,-155.10158,0,0,0,0,0,27,57,4,4,0,0,0,0,0,0,8,80,4,0,2,13,67,10,0,1,5,81,5,0,0,15,60,17,0,1
25,2006-03-01,13.43787,144.69498,0,0,0,0,2,18,71,0,0,0,0,0,0,0,0,12,57,18,4,0,6,80,6,0,0,0,85,7,0,0,22,61,9,0,1
26,2006-03-01,7.49447,134.51651,0,0,0,0,15,27,46,1,0,0,0,0,0,0,0,4,58,26,4,0,9,73,10,0,0,22,56,14,0,2,12,68,9,0,1
34,2006-03-01,0.61878,128.18423,0,0,0,0,1,9,64,16,1,0,0,0,0,0,0,3,75,14,0,2,7,59,24,0,1,18,72,0,0,1,4,73,14,0,1
41,2006-03-01,2.48924,128.53255,0,0,0,0,0,16,67,8,1,0,0,0,0,0,0,0,54,29,7,0,21,44,27,0,0,0,83,9,0,0,6,73,13,0,1
75,2006-03-01,7.18326,126.29048,0,0,0,0,0,0,84,8,0,0,0,0,0,0,0,0,42,46,4,0,12,56,24,0,0,17,73,2,0,1,14,69,7,0,1
83,2006-03-01,7.11801,126.05241,0,0,0,0,1,15,69,6,0,0,0,0,0,0,0,0,47,44,1,0,13,55,24,0,0,15,73,3,1,1,13,72,5,0,1
84,2006-03-01,6.13935,125.65533,0,0,0,0,1,23,65,3,0,0,0,0,0,0,0,0,72,15,5,1,10,49,31,1,0,29,63,0,0,1,11,71,8,0,1
91,2006-03-01,7.77949,126.1156,0,0,0,0,0,14,72,5,0,0,0,0,0,0,0,0,40,51,1,1,9,61,21,0,0,11,75,5,0,3,13,69,7,0,1
112,2006-03-01,8.13055,125.83765,0,0,0,0,0,20,54,7,4,0,0,0,0,0,0,0,46,46,0,2,18,51,21,0,0,9,73,5,4,3,10,72,7,0,1
137,2006-03-01,6.09609,124.81245,0,0,0,0,0,6,62,12,11,0,0,0,0,0,0,0,47,28,14,2,14,51,25,0,0,15,76,0,1,1,12,73,5,0,1
142,2006-03-01,8.47834,125.55775,0,0,0,0,0,1,62,20,8,0,0,0,0,0,0,0,49,38,5,8,16,55,13,0,0,9,72,6,3,3,6,75,8,0,1
152,2006-03-01,6.01938,124.57794,0,0,0,0,0,1,59,32,0,0,0,0,0,0,0,0,44,29,14,2,13,57,20,0,0,12,77,2,1,1,11,75,4,0,1
