index,start_date,lat,lon,P0.05_N1_Q0.1_V[ALL]_C24
8,1998-06-01,19.7921,-155.97781,1
15,1998-06-01,22.02062,-159.39676,1
25,1998-06-01,13.43787,144.69498,1
26,1998-06-01,7.49447,134.51651,1
44,1998-06-01,0.50879,127.73455,1
51,1998-06-01,1.64475,127.77568,1
63,1998-06-01,1.38789,124.67474,1
92,1998-06-01,7.53741,126.0148,18
94,1998-06-01,6.31557,125.51804,1
106,1998-06-01,6.24418,125.28251,18
124,1998-06-01,9.26697,126.10414,1
128,1998-06-01,8.30486,125.69794,18
176,1998-06-01,7.60183,124.78174,1
192,1998-06-01,7.27848,124.44703,18
227,1998-06-01,11.35272,125.26888,11
253,1998-06-01,10.96985,124.67274,1
293,1998-06-01,10.49636,123.83673,18
327,1998-06-01,35.81877,140.25781,11
329,1998-06-01,12.67306,124.09038,1
337,1998-06-01,9.5061,122.81908,1
339,1998-06-01,7.49715,122.07787,1
367,1998-06-01,36.04387,139.74905,20
372,1998-06-01,35.21725,138.81407,4
382,1998-06-01,36.88592,140.35582,4
444,1998-06-01,35.78761,138.32538,4
461,1998-06-01,38.42358,141.05695,4
511,1998-06-01,37.00134,138.93289,4
522,1998-06-01,35.13641,136.90338,11
530,1998-06-01,13.78602,123.03152,18
538,1998-06-01,39.28292,141.34019,4
588,1998-06-01,37.87544,139.17609,4
608,1998-06-01,34.44735,135.51308,20
632,1998-06-01,36.03784,136.75699,4
655,1998-06-01,37.92265,138.45175,1
706,1998-06-01,12.60761,121.48939,18
713,1998-06-01,46.00672,150.06848,1
740,1998-06-01,33.52048,133.31532,0
756,1998-06-01,1.49746,117.72092,1
759,1998-06-01,0.6578,117.49719,1
762,1998-06-01,52.17063,-174.4278,1
820,1998-06-01,43.35999,144.09824,4
850,1998-06-01,14.52513,121.59544,18
866,1998-06-01,1.22952,117.28571,1
883,1998-06-01,35.33894,133.95837,0
931,1998-06-01,43.31792,143.07321,4
943,1998-06-01,34.40434,132.77769,4
996,1998-06-01,42.91513,142.00127,4
1011,1998-06-01,33.24908,131.47597,4
1016,1998-06-01,32.28132,130.70261,4
1017,1998-06-01,32.08588,130.5508,4
1031,1998-06-01,14.48161,120.93219,1
1078,1998-06-01,34.5609,132.25739,4
1169,1998-06-01,15.26165,120.80451,18
1170,1998-06-01,15.0177,120.70968,18
1175,1998-06-01,5.51838,117.53989,11
1193,1998-06-01,0.52875,116.20695,9
1204,1998-06-01,43.64613,141.69801,4
1216,1998-06-01,33.56145,130.78229,1
1255,1998-06-01,2.08136,116.41982,20
1267,1998-06-01,44.14153,141.97276,4
1268,1998-06-01,43.99032,141.74557,4
1269,1998-06-01,43.83827,141.51981,1
1279,1998-06-01,32.74992,129.83569,1
1280,1998-06-01,18.19647,121.55713,18
1305,1998-06-01,4.43797,116.86192,9
1342,1998-06-01,15.93757,120.4181,18
1350,1998-06-01,5.66632,117.0156,11
1353,1998-06-01,4.84999,116.78857,9
1436,1998-06-01,17.19238,120.47517,1
1455,1998-06-01,2.9119,115.90651,9
1458,1998-06-01,2.06893,115.6937,9
1471,1998-06-01,52.13594,157.16635,0
1481,1998-06-01,16.3628,119.93151,1
1491,1998-06-01,4.98619,116.26664,21
1497,1998-06-01,3.32672,115.83053,9
1517,1998-06-01,6.21206,116.41408,1
1518,1998-06-01,5.94046,116.33918,1
1539,1998-06-01,0.05333,114.85311,3
1553,1998-06-01,34.51621,129.34052,1
1575,1998-06-01,0.18682,114.70823,3
1594,1998-06-01,5.3883,115.81613,1
1619,1998-06-01,53.72513,159.27444,0
1621,1998-06-01,53.55458,158.60019,0
1634,1998-06-01,5.52061,115.66519,1
1690,1998-06-01,1.44555,114.47068,9
1696,1998-06-01,55.01861,-162.86971,1
1715,1998-06-01,47.4069,142.26111,0
1739,1998-06-01,0.42231,114.05996,9
1745,1998-06-01,54.87653,160.9744,0
1768,1998-06-01,35.31393,128.39154,4
1778,1998-06-01,22.81218,121.03363,18
1791,1998-06-01,2.27619,114.30933,20
1839,1998-06-01,23.41442,121.0694,18
1878,1998-06-01,54.38238,156.89819,4
1902,1998-06-01,25.15822,121.64882,1
1910,1998-06-01,23.32166,120.7879,1
1927,1998-06-01,0.80682,113.62019,21
1956,1998-06-01,43.8063,135.40634,4
1969,1998-06-01,35.38189,127.50867,4
1978,1998-06-01,24.3831,121.03511,1
1990,1998-06-01,3.22677,113.99581,9
1994,1998-06-01,2.08668,113.73166,20
2046,1998-06-01,43.98046,135.2039,4
2067,1998-06-01,34.52052,126.57931,0
2098,1998-06-01,56.36885,162.18111,0
2109,1998-06-01,55.48936,158.19859,0
2124,1998-06-01,49.14205,142.09669,4
2144,1998-06-01,43.45583,134.19307,4
2150,1998-06-01,37.48376,128.50066,4
2173,1998-06-01,3.19346,113.62938,1
2192,1998-06-01,56.51969,161.6888,0
2212,1998-06-01,50.06173,143.19611,4
2241,1998-06-01,43.44973,133.7897,4
2245,1998-06-01,38.03292,128.61963,4
2252,1998-06-01,36.64677,127.52267,9
2271,1998-06-01,1.01661,112.96629,20
2290,1998-06-01,56.18672,158.99031,2
2310,1998-06-01,47.82862,138.99091,4
2312,1998-06-01,47.50988,138.52145,4
2316,1998-06-01,46.86256,137.60257,4
2327,1998-06-01,45.01756,135.20834,4
2376,1998-06-01,56.57359,159.58157,0
2385,1998-06-01,55.77769,156.34869,0
