index,start_date,lat,lon,P0.1_N1_[ALL]_C5
7,2006-12-01,19.6795,-155.79903,0
14,2006-12-01,21.32913,-158.08727,0
17,2006-12-01,19.83736,-155.10158,0
25,2006-12-01,13.43787,144.69498,0
26,2006-12-01,7.49447,134.51651,0
34,2006-12-01,0.61878,128.18423,0
41,2006-12-01,2.48924,128.53255,0
75,2006-12-01,7.18326,126.29048,0
83,2006-12-01,7.11801,126.05241,0
84,2006-12-01,6.13935,125.65533,0
91,2006-12-01,7.77949,126.1156,0
112,2006-12-01,8.13055,125.83765,0
137,2006-12-01,6.09609,124.81245,0
142,2006-12-01,8.47834,125.55775,0
152,2006-12-01,6.01938,124.57794,0
153,2006-12-01,0.86404,122.75452,0
183,2006-12-01,0.67067,122.31132,0
185,2006-12-01,9.71795,125.43605,0
190,2006-12-01,7.77233,124.64095,0
191,2006-12-01,7.52578,124.54375,0
209,2006-12-01,0.73941,121.95436,0
223,2006-12-01,1.07295,121.6813,0
225,2006-12-01,0.53362,121.51308,0
232,2006-12-01,0.69905,121.37634,0
242,2006-12-01,8.11756,123.73778,0
255,2006-12-01,9.75935,124.1752,0
260,2006-12-01,7.53473,123.31063,0
267,2006-12-01,11.85389,124.83087,0
269,2006-12-01,9.92453,124.03024,0
299,2006-12-01,35.26666,140.3828,3
303,2006-12-01,9.1843,123.11134,0
304,2006-12-01,7.93528,122.64238,0
330,2006-12-01,12.1935,123.88918,0
356,2006-12-01,10.65336,123.05347,0
358,2006-12-01,10.16098,122.86187,0
359,2006-12-01,9.91373,122.76681,0
383,2006-12-01,36.72474,140.16225,0
406,2006-12-01,37.40054,140.5853,3
419,2006-12-01,35.26069,138.12213,3
427,2006-12-01,11.37443,122.70316,0
428,2006-12-01,11.1289,122.60728,0
436,2006-12-01,37.11081,139.83795,3
442,2006-12-01,36.12289,138.69705,3
448,2006-12-01,35.10822,137.59471,3
455,2006-12-01,11.53144,122.5532,0
465,2006-12-01,37.78785,140.26003,3
468,2006-12-01,37.30291,139.67416,3
495,2006-12-01,1.00641,118.86716,0
505,2006-12-01,37.98058,140.0957,3
506,2006-12-01,37.81928,139.89909,3
521,2006-12-01,35.30959,137.08257,0
528,2006-12-01,33.90434,135.67802,3
538,2006-12-01,39.28292,141.34019,3
545,2006-12-01,38.17268,139.93024,3
547,2006-12-01,37.84848,139.53777,3
553,2006-12-01,36.85765,138.38739,3
564,2006-12-01,34.97226,136.38036,3
574,2006-12-01,1.03258,118.50776,0
577,2006-12-01,39.63329,141.38156,3
584,2006-12-01,38.52555,139.96179,3
586,2006-12-01,38.20203,139.56665,3
596,2006-12-01,36.53906,137.65889,3
617,2006-12-01,39.98313,141.42348,3
635,2006-12-01,35.51472,136.21887,3
648,2006-12-01,40.1773,141.25661,3
661,2006-12-01,35.87294,136.22633,3
670,2006-12-01,33.90434,134.32198,3
681,2006-12-01,43.18458,145.2869,0
682,2006-12-01,40.52645,141.29813,3
683,2006-12-01,40.37086,141.08853,3
685,2006-12-01,40.05725,140.67302,3
700,2006-12-01,34.26524,134.31793,0
713,2006-12-01,46.00672,150.06848,0
724,2006-12-01,40.40696,140.71059,3
727,2006-12-01,39.93164,140.09212,0
740,2006-12-01,33.52048,133.31532,3
742,2006-12-01,33.1468,132.99045,3
758,2006-12-01,0.93855,117.5714,0
762,2006-12-01,52.17063,-174.4278,0
774,2006-12-01,42.43258,143.1301,4
784,2006-12-01,35.16678,134.48071,3
785,2006-12-01,34.98525,134.30972,3
810,2006-12-01,1.64342,117.57775,0
823,2006-12-01,42.92421,143.41234,4
828,2006-12-01,41.26096,140.9989,0
840,2006-12-01,33.87015,132.96669,3
859,2006-12-01,5.073,118.35729,0
863,2006-12-01,2.06671,117.509,0
867,2006-12-01,0.94875,117.21203,0
881,2006-12-01,41.13896,140.40379,0
890,2006-12-01,32.90825,131.82942,3
893,2006-12-01,32.3317,131.36182,3
895,2006-12-01,31.94414,131.05481,3
901,2006-12-01,16.3591,122.125,0
905,2006-12-01,14.18683,121.24693,0
910,2006-12-01,12.95731,120.77753,0
914,2006-12-01,4.94835,118.13134,0
923,2006-12-01,1.09291,117.06889,0
939,2006-12-01,35.14726,133.44249,3
947,2006-12-01,32.69456,131.34071,3
953,2006-12-01,31.52595,130.42607,0
954,2006-12-01,31.32897,130.27689,0
971,2006-12-01,4.82195,117.90593,0
972,2006-12-01,4.55096,117.82818,0
976,2006-12-01,3.45911,117.52112,0
983,2006-12-01,1.23618,116.9254,0
1001,2006-12-01,41.51928,140.05383,0
1003,2006-12-01,35.13641,133.09662,3
1026,2006-12-01,15.69651,121.41187,0
1027,2006-12-01,15.45481,121.31487,0
1036,2006-12-01,11.7515,119.92213,0
1039,2006-12-01,5.77328,117.99339,0
1054,2006-12-01,1.65939,116.85442,0
1063,2006-12-01,43.70929,142.72864,2
1075,2006-12-01,35.12339,132.75087,3
1090,2006-12-01,17.99212,122.14766,0
1094,2006-12-01,17.04343,121.74413,0
1098,2006-12-01,16.08475,121.34958,0
1100,2006-12-01,15.60164,121.15559,0
1105,2006-12-01,10.88268,119.4156,0
1112,2006-12-01,5.10684,117.61075,0
1118,2006-12-01,3.46844,117.15343,0
1122,2006-12-01,2.36007,116.85626,0
1131,2006-12-01,44.34706,143.24632,0
1137,2006-12-01,43.45339,141.87482,1
1158,2006-12-01,17.90355,121.88356,0
1162,2006-12-01,16.95161,121.48343,0
1169,2006-12-01,15.26165,120.80451,0
1180,2006-12-01,4.15869,117.15723,0
1186,2006-12-01,2.50078,116.71084,0
1187,2006-12-01,2.2216,116.63776,0
1211,2006-12-01,42.40375,139.94408,0
1214,2006-12-01,34.13977,131.25385,3
1226,2006-12-01,16.85798,121.2233,0
