index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
7,1998-06-01,19.6795,-155.79903,0,0,0,0,0,21,71,0,0,0,0,0,0,0,0,4,79,7,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
14,1998-06-01,21.32913,-158.08727,0,0,0,0,2,22,68,0,0,0,0,0,0,0,0,3,86,2,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
17,1998-06-01,19.83736,-155.10158,0,0,0,0,11,19,48,11,3,0,0,0,0,0,1,2,84,3,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
25,1998-06-01,13.43787,144.69498,0,0,0,0,0,0,90,2,0,0,0,0,0,0,0,0,77,14,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
26,1998-06-01,7.49447,134.51651,0,0,0,0,0,8,81,3,0,0,0,0,0,0,0,3,78,10,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
34,1998-06-01,0.61878,128.18423,0,0,0,0,1,29,53,9,0,0,0,0,0,0,0,0,13,75,4,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,20
41,1998-06-01,2.48924,128.53255,0,0,0,0,0,5,86,1,0,0,0,0,0,0,0,0,87,5,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
75,1998-06-01,7.18326,126.29048,0,0,0,0,0,11,78,3,0,0,0,0,0,0,0,0,57,35,0,0,3,89,0,0,0,0,92,0,0,0,0,92,0,0,3
83,1998-06-01,7.11801,126.05241,0,0,0,0,5,20,63,4,0,0,0,0,0,0,0,0,61,31,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,3
84,1998-06-01,6.13935,125.65533,0,0,0,0,0,15,74,3,0,0,0,0,0,0,0,0,61,28,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
91,1998-06-01,7.77949,126.1156,0,0,0,0,0,22,70,0,0,0,0,0,0,0,0,0,24,68,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,20
112,1998-06-01,8.13055,125.83765,0,0,0,0,0,38,36,0,0,0,0,0,0,0,0,0,41,51,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,12
137,1998-06-01,6.09609,124.81245,0,0,0,0,3,22,45,22,0,0,0,0,0,0,0,0,61,30,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,12
142,1998-06-01,8.47834,125.55775,0,0,0,0,0,28,64,0,0,0,0,0,0,0,0,0,62,30,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
152,1998-06-01,6.01938,124.57794,0,0,0,0,0,6,80,6,0,0,0,0,0,0,0,0,72,20,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
153,1998-06-01,0.86404,122.75452,0,0,0,0,4,10,69,8,1,0,0,0,0,0,0,0,7,77,8,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,20
183,1998-06-01,0.67067,122.31132,0,0,0,0,0,20,71,1,0,0,0,0,0,0,0,0,3,76,13,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,20
