index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,[ALL]_Q0.1
7,1993-03-01,19.6795,-155.79903,0,0,0,0,0,1,88,3,0,0,0,0,0,0,0,11,67,6,0,3,14,70,5,0,5,18,69,0,0,6,15,70,1,0,0
14,1993-03-01,21.32913,-158.08727,0,0,0,0,0,7,83,2,0,0,0,0,0,0,0,12,76,2,1,0,11,71,10,0,5,28,58,1,0,6,9,72,1,0,0
17,1993-03-01,19.83736,-155.10158,0,0,0,0,0,0,86,6,0,0,0,0,0,0,1,33,47,3,5,3,12,72,5,0,5,16,71,0,0,4,16,70,1,0,0
25,1993-03-01,13.43787,144.69498,0,0,0,0,0,4,88,0,0,0,0,0,0,0,0,12,79,1,0,0,10,56,26,0,22,36,34,0,0,5,32,54,1,0,0
26,1993-03-01,7.49447,134.51651,0,0,0,0,1,8,83,0,0,0,0,0,0,0,0,12,73,7,0,1,8,71,12,0,0,33,55,4,0,3,19,54,15,1,0
34,1993-03-01,0.61878,128.18423,0,0,0,0,1,0,85,6,0,0,0,0,0,0,0,33,59,0,0,2,11,67,12,0,1,4,87,0,0,3,11,69,7,1,0
41,1993-03-01,2.48924,128.53255,0,0,0,0,0,12,68,12,0,0,0,0,0,0,0,7,81,3,1,1,17,61,13,0,0,20,72,0,0,5,9,72,5,0,0
75,1993-03-01,7.18326,126.29048,0,0,0,0,0,3,70,18,1,0,0,0,0,0,0,22,70,0,0,1,3,62,26,0,0,13,68,10,1,10,17,54,9,0,0
83,1993-03-01,7.11801,126.05241,0,0,0,0,11,16,64,1,0,0,0,0,0,0,0,21,71,0,0,1,1,62,28,0,0,12,68,11,1,11,15,54,10,0,0
84,1993-03-01,6.13935,125.65533,0,0,0,0,1,4,86,1,0,0,0,0,0,0,3,29,59,1,0,0,5,70,17,0,0,12,69,10,1,10,12,58,10,0,0
91,1993-03-01,7.77949,126.1156,0,0,0,0,0,0,84,8,0,0,0,0,0,0,0,7,85,0,0,1,3,57,31,0,0,11,67,14,0,10,15,54,10,0,0
112,1993-03-01,8.13055,125.83765,0,0,0,0,0,0,90,2,0,0,0,0,0,0,0,12,80,0,0,1,4,54,33,0,0,7,66,17,2,9,19,52,10,0,0
137,1993-03-01,6.09609,124.81245,0,0,0,0,0,21,69,2,0,0,0,0,0,0,2,28,62,0,0,0,6,63,23,0,0,6,73,11,2,9,12,59,10,0,0
142,1993-03-01,8.47834,125.55775,0,0,0,0,0,3,89,0,0,0,0,0,0,0,0,18,74,0,0,2,4,65,21,0,0,4,65,20,2,10,17,50,11,1,0
152,1993-03-01,6.01938,124.57794,0,0,0,0,0,27,63,2,0,0,0,0,0,0,1,24,67,0,0,1,7,61,23,0,0,7,73,10,2,9,13,58,10,0,0
153,1993-03-01,0.86404,122.75452,0,0,0,0,0,13,78,1,0,0,0,0,0,0,0,32,60,0,0,2,11,64,15,0,0,4,88,0,0,1,12,69,10,0,0
183,1993-03-01,0.67067,122.31132,0,0,0,0,0,20,63,9,0,0,0,0,0,0,0,23,69,0,0,2,12,65,13,0,1,9,82,0,0,2,9,70,11,0,0
