index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
8,2006-06-01,19.7921,-155.97781,20,255,3
15,2006-06-01,22.02062,-159.39676,15,255,2
25,2006-06-01,13.43787,144.69498,22,255,3
26,2006-06-01,7.49447,134.51651,15,255,2
44,2006-06-01,0.50879,127.73455,17,255,3
51,2006-06-01,1.64475,127.77568,10,255,2
63,2006-06-01,1.38789,124.67474,31,255,5
92,2006-06-01,7.53741,126.0148,8,255,1
94,2006-06-01,6.31557,125.51804,1,255,0
106,2006-06-01,6.24418,125.28251,19,255,3
124,2006-06-01,9.26697,126.10414,25,255,4
128,2006-06-01,8.30486,125.69794,19,255,3
176,2006-06-01,7.60183,124.78174,2,255,0
192,2006-06-01,7.27848,124.44703,9,255,1
227,2006-06-01,11.35272,125.26888,16,255,2
253,2006-06-01,10.96985,124.67274,17,255,3
293,2006-06-01,10.49636,123.83673,7,255,1
327,2006-06-01,35.81877,140.25781,53,255,7
329,2006-06-01,12.67306,124.09038,8,255,1
337,2006-06-01,9.5061,122.81908,1,255,0
339,2006-06-01,7.49715,122.07787,14,255,2
367,2006-06-01,36.04387,139.74905,32,255,5
372,2006-06-01,35.21725,138.81407,4,255,1
382,2006-06-01,36.88592,140.35582,6,255,1
444,2006-06-01,35.78761,138.32538,0,255,0
461,2006-06-01,38.42358,141.05695,17,255,3
511,2006-06-01,37.00134,138.93289,0,255,0
522,2006-06-01,35.13641,136.90338,40,255,6
530,2006-06-01,13.78602,123.03152,3,255,0
538,2006-06-01,39.28292,141.34019,31,255,5
588,2006-06-01,37.87544,139.17609,17,255,3
608,2006-06-01,34.44735,135.51308,14,255,2
632,2006-06-01,36.03784,136.75699,0,255,0
655,2006-06-01,37.92265,138.45175,10,255,2
706,2006-06-01,12.60761,121.48939,9,255,1
713,2006-06-01,46.00672,150.06848,5,255,1
740,2006-06-01,33.52048,133.31532,16,255,2
756,2006-06-01,1.49746,117.72092,10,255,2
759,2006-06-01,0.6578,117.49719,12,255,2
762,2006-06-01,52.17063,-174.4278,1,255,0
820,2006-06-01,43.35999,144.09824,8,255,1
850,2006-06-01,14.52513,121.59544,12,255,2
866,2006-06-01,1.22952,117.28571,0,255,0
883,2006-06-01,35.33894,133.95837,45,255,6
931,2006-06-01,43.31792,143.07321,0,255,0
943,2006-06-01,34.40434,132.77769,1,255,0
996,2006-06-01,42.91513,142.00127,10,255,2
1011,2006-06-01,33.24908,131.47597,14,255,2
1016,2006-06-01,32.28132,130.70261,15,255,2
1017,2006-06-01,32.08588,130.5508,49,255,7
1031,2006-06-01,14.48161,120.93219,16,255,2
1078,2006-06-01,34.5609,132.25739,20,255,3
1169,2006-06-01,15.26165,120.80451,29,255,4
1170,2006-06-01,15.0177,120.70968,6,255,1
1175,2006-06-01,5.51838,117.53989,6,255,1
1193,2006-06-01,0.52875,116.20695,0,255,0
1204,2006-06-01,43.64613,141.69801,9,255,1
1216,2006-06-01,33.56145,130.78229,37,255,5
1255,2006-06-01,2.08136,116.41982,0,255,0
1267,2006-06-01,44.14153,141.97276,23,255,3
1268,2006-06-01,43.99032,141.74557,18,255,3
1269,2006-06-01,43.83827,141.51981,20,255,3
1279,2006-06-01,32.74992,129.83569,7,255,1
1280,2006-06-01,18.19647,121.55713,12,255,2
1305,2006-06-01,4.43797,116.86192,0,255,0
1342,2006-06-01,15.93757,120.4181,20,255,3
1350,2006-06-01,5.66632,117.0156,0,255,0
1353,2006-06-01,4.84999,116.78857,0,255,0
1436,2006-06-01,17.19238,120.47517,16,255,2
1455,2006-06-01,2.9119,115.90651,0,255,0
1458,2006-06-01,2.06893,115.6937,0,255,0
1471,2006-06-01,52.13594,157.16635,3,255,0
1481,2006-06-01,16.3628,119.93151,0,255,0
1491,2006-06-01,4.98619,116.26664,0,255,0
1497,2006-06-01,3.32672,115.83053,0,255,0
1517,2006-06-01,6.21206,116.41408,3,255,0
1518,2006-06-01,5.94046,116.33918,14,255,2
1539,2006-06-01,0.05333,114.85311,0,255,0
1553,2006-06-01,34.51621,129.34052,20,255,3
1575,2006-06-01,0.18682,114.70823,0,255,0
1594,2006-06-01,5.3883,115.81613,35,255,5
1619,2006-06-01,53.72513,159.27444,0,255,0
1621,2006-06-01,53.55458,158.60019,2,255,0
1634,2006-06-01,5.52061,115.66519,18,255,3
1690,2006-06-01,1.44555,114.47068,0,255,0
1696,2006-06-01,55.01861,-162.86971,3,255,0
1715,2006-06-01,47.4069,142.26111,7,255,1
1739,2006-06-01,0.42231,114.05996,0,255,0
