index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
8,19.7921,-155.97781,0,9,0
15,22.02062,-159.39676,0,9,0
25,13.43787,144.69498,0,6,0
26,7.49447,134.51651,0,0,0
44,0.50879,127.73455,0,0,0
51,1.64475,127.77568,0,0,0
63,1.38789,124.67474,0,1,0
92,7.53741,126.0148,0,0,0
94,6.31557,125.51804,0,3,0
106,6.24418,125.28251,0,0,0
124,9.26697,126.10414,0,5,0
128,8.30486,125.69794,0,0,0
176,7.60183,124.78174,0,0,0
192,7.27848,124.44703,0,0,0
227,11.35272,125.26888,0,5,0
253,10.96985,124.67274,0,0,0
293,10.49636,123.83673,0,0,0
327,35.81877,140.25781,0,6,0
329,12.67306,124.09038,0,0,0
337,9.5061,122.81908,0,0,0
339,7.49715,122.07787,0,7,0
367,36.04387,139.74905,0,0,0
372,35.21725,138.81407,0,0,0
382,36.88592,140.35582,0,1,0
444,35.78761,138.32538,0,0,0
461,38.42358,141.05695,0,4,0
511,37.00134,138.93289,0,0,0
522,35.13641,136.90338,0,0,0
530,13.78602,123.03152,0,1,0
538,39.28292,141.34019,0,0,0
588,37.87544,139.17609,2,0,0
608,34.44735,135.51308,0,0,0
632,36.03784,136.75699,0,0,0
655,37.92265,138.45175,0,0,0
706,12.60761,121.48939,0,0,0
713,46.00672,150.06848,0,0,0
740,33.52048,133.31532,0,0,0
756,1.49746,117.72092,0,0,0
759,0.6578,117.49719,0,0,0
762,52.17063,-174.4278,0,7,0
820,43.35999,144.09824,4,0,0
850,14.52513,121.59544,0,2,0
866,1.22952,117.28571,0,0,0
883,35.33894,133.95837,0,0,0
931,43.31792,143.07321,10,0,2
943,34.40434,132.77769,0,0,0
996,42.91513,142.00127,6,0,2
1011,33.24908,131.47597,0,0,0
1016,32.28132,130.70261,0,0,0
1017,32.08588,130.5508,0,0,0
1031,14.48161,120.93219,0,5,0
1078,34.5609,132.25739,0,0,0
1169,15.26165,120.80451,0,0,0
1170,15.0177,120.70968,0,1,0
1175,5.51838,117.53989,0,0,0
1193,0.52875,116.20695,0,0,0
1204,43.64613,141.69801,9,0,2
1216,33.56145,130.78229,0,0,0
1255,2.08136,116.41982,0,0,0
1267,44.14153,141.97276,12,1,2
1268,43.99032,141.74557,5,0,0
1269,43.83827,141.51981,0,5,0
1279,32.74992,129.83569,0,0,0
1280,18.19647,121.55713,0,4,0
1305,4.43797,116.86192,0,0,0
1342,15.93757,120.4181,0,2,0
1350,5.66632,117.0156,0,0,0
1353,4.84999,116.78857,0,0,0
1436,17.19238,120.47517,0,0,0
1455,2.9119,115.90651,0,0,0
1458,2.06893,115.6937,0,0,0
1471,52.13594,157.16635,9,0,2
1481,16.3628,119.93151,0,0,0
1491,4.98619,116.26664,0,0,0
1497,3.32672,115.83053,0,0,0
1517,6.21206,116.41408,0,1,0
1518,5.94046,116.33918,0,0,0
1539,0.05333,114.85311,0,0,0
1553,34.51621,129.34052,0,3,0
1575,0.18682,114.70823,0,0,0
1594,5.3883,115.81613,0,0,0
1619,53.72513,159.27444,10,0,2
1621,53.55458,158.60019,17,0,2
1634,5.52061,115.66519,0,0,0
1690,1.44555,114.47068,0,0,0
1696,55.01861,-162.86971,0,0,0
1715,47.4069,142.26111,23,0,1
1739,0.42231,114.05996,0,0,0
1745,54.87653,160.9744,22,0,1
1768,35.31393,128.39154,0,0,0
1778,22.81218,121.03363,0,4,0
1791,2.27619,114.30933,0,0,0
1839,23.41442,121.0694,0,0,0
1878,54.38238,156.89819,32,0,1
1902,25.15822,121.64882,0,2,0
1910,23.32166,120.7879,0,0,0
1927,0.80682,113.62019,0,0,0
1956,43.8063,135.40634,12,0,2
1969,35.38189,127.50867,0,0,0
1978,24.3831,121.03511,0,0,0
1990,3.22677,113.99581,0,0,0
1994,2.08668,113.73166,0,0,0
2046,43.98046,135.2039,15,0,2
2067,34.52052,126.57931,0,0,0
2098,56.36885,162.18111,17,0,2
2109,55.48936,158.19859,42,0,3
2124,49.14205,142.09669,21,1,1
2144,43.45583,134.19307,13,0,2
2150,37.48376,128.50066,0,0,0
2173,3.19346,113.62938,0,0,0
2192,56.51969,161.6888,23,0,1
2212,50.06173,143.19611,34,0,1
2241,43.44973,133.7897,8,0,2
2245,38.03292,128.61963,4,0,0
2252,36.64677,127.52267,0,0,0
2271,1.01661,112.96629,0,0,0
2290,56.18672,158.99031,46,0,3
2310,47.82862,138.99091,21,0,1
2312,47.50988,138.52145,19,0,2
2316,46.86256,137.60257,22,0,1
2327,45.01756,135.20834,15,0,2
2376,56.57359,159.58157,47,0,3
2385,55.77769,156.34869,33,0,1
2397,48.48409,139.50218,23,0,1
2452,0.67776,112.54585,0,0,0
2465,56.95632,160.1862,51,0,3
2476,55.99356,156.19406,38,0,3
2488,48.50953,139.05356,33,0,1
2517,43.59712,132.77408,13,0,2
2527,37.30514,127.07307,0,1,0
2538,1.67314,112.58253,0,0,0
2546,56.84506,-158.5654,1,5,0
2554,57.25682,160.42688,53,0,3
