index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
8,1993-03-01,19.7921,-155.97781,0,0,0,0,0,0,77,15,0,0,0,0,0,0,0,13,67,4,2,3,12,72,5,0,5,17,70,0,0,6,15,70,1,0
15,1993-03-01,22.02062,-159.39676,0,0,0,0,0,12,53,24,3,0,0,0,0,0,0,6,86,0,0,0,13,66,13,0,5,25,60,2,0,6,10,71,1,0
25,1993-03-01,13.43787,144.69498,0,0,0,0,0,4,88,0,0,0,0,0,0,0,0,12,79,1,0,0,10,56,26,0,22,36,34,0,0,5,32,54,1,0
26,1993-03-01,7.49447,134.51651,0,0,0,0,1,8,83,0,0,0,0,0,0,0,0,12,73,7,0,1,8,71,12,0,0,33,55,4,0,3,19,54,15,1
44,1993-03-01,0.50879,127.73455,0,0,0,0,8,17,67,0,0,0,0,0,0,0,3,34,54,1,0,3,15,50,24,0,1,4,87,0,0,2,8,69,12,0
51,1993-03-01,1.64475,127.77568,0,0,0,0,0,32,51,6,3,0,0,0,0,0,1,3,84,4,0,0,11,63,18,0,0,12,80,0,0,4,11,71,6,0
63,1993-03-01,1.38789,124.67474,0,0,0,0,1,45,46,0,0,0,0,0,0,0,0,2,84,6,0,0,9,65,18,0,0,18,74,0,0,2,12,73,4,0
92,1993-03-01,7.53741,126.0148,0,0,0,0,0,2,58,24,8,0,0,0,0,0,0,20,72,0,0,1,1,59,31,0,0,12,67,13,0,11,15,54,10,0
94,1993-03-01,6.31557,125.51804,0,0,0,0,0,15,65,12,0,0,0,0,0,0,2,34,56,0,0,0,4,68,20,0,0,11,69,11,1,12,10,58,10,0
106,1993-03-01,6.24418,125.28251,0,0,0,0,1,40,49,2,0,0,0,0,0,0,2,33,57,0,0,0,6,65,21,0,0,7,72,13,0,11,11,57,11,0
124,1993-03-01,9.26697,126.10414,0,0,0,0,0,15,71,6,0,0,0,0,0,0,0,19,72,1,0,1,2,70,19,0,0,13,64,13,2,5,27,47,10,0
128,1993-03-01,8.30486,125.69794,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,19,73,0,0,2,5,54,31,0,0,5,66,18,2,9,18,50,11,1
176,1993-03-01,7.60183,124.78174,0,0,0,0,0,11,66,15,0,0,0,0,0,0,0,29,63,0,0,0,3,56,33,0,0,6,64,18,4,11,14,48,14,1
192,1993-03-01,7.27848,124.44703,0,0,0,0,0,30,62,0,0,0,0,0,0,0,0,19,73,0,0,0,5,59,28,0,0,6,68,16,2,10,12,52,14,0
227,1993-03-01,11.35272,125.26888,0,0,0,0,1,12,66,6,7,0,0,0,0,0,0,18,74,0,0,2,9,69,12,0,0,2,44,31,13,4,22,57,8,0
253,1993-03-01,10.96985,124.67274,0,0,0,0,9,5,60,13,5,0,0,0,0,0,0,23,65,3,1,1,4,70,17,0,0,1,43,31,17,5,20,56,10,1
293,1993-03-01,10.49636,123.83673,0,0,0,0,1,24,67,0,0,0,0,0,0,0,0,14,78,0,0,0,7,63,22,0,0,1,44,33,14,4,20,55,12,1
327,1993-03-01,35.81877,140.25781,0,0,0,0,0,0,73,19,0,0,0,0,0,0,0,20,72,0,0,0,13,64,15,0,0,20,58,14,0,0,30,54,7,1
