index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
7,1995-09-01,19.6795,-155.79903,0,0,0,0,0,25,51,4,8,0,0,0,0,0,0,0,76,15,0,0,0,89,2,0,0,0,91,0,0,0,0,91,0,0,1
14,1995-09-01,21.32913,-158.08727,0,0,0,0,0,1,79,5,5,0,0,0,0,0,0,3,72,16,0,0,0,81,10,0,0,0,91,0,0,0,0,91,0,0,1
17,1995-09-01,19.83736,-155.10158,0,0,0,0,0,2,68,17,3,0,0,0,0,0,0,18,72,1,0,0,0,86,5,0,0,0,91,0,0,0,0,91,0,0,1
25,1995-09-01,13.43787,144.69498,0,0,0,0,0,13,49,28,1,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
26,1995-09-01,7.49447,134.51651,0,0,0,0,2,0,60,20,0,0,0,0,0,0,0,0,89,2,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
34,1995-09-01,0.61878,128.18423,0,0,0,0,10,16,59,2,0,0,0,0,0,0,0,0,45,46,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
41,1995-09-01,2.48924,128.53255,0,0,0,0,9,21,49,8,4,0,0,0,0,0,0,0,88,1,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
75,1995-09-01,7.18326,126.29048,0,0,0,0,0,0,64,12,3,0,0,0,0,0,0,0,66,24,1,0,3,88,0,0,0,0,91,0,0,0,0,91,0,0,1
83,1995-09-01,7.11801,126.05241,0,0,0,0,2,5,41,33,2,0,0,0,0,0,0,0,64,25,2,0,2,88,1,0,0,0,91,0,0,0,0,91,0,0,1
84,1995-09-01,6.13935,125.65533,0,0,0,0,9,8,56,9,9,0,0,0,0,0,0,0,68,19,4,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
91,1995-09-01,7.77949,126.1156,0,0,0,0,0,9,60,0,7,0,0,0,0,0,0,0,50,41,0,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,1
112,1995-09-01,8.13055,125.83765,0,0,0,0,0,5,73,1,0,0,0,0,0,0,0,0,48,43,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
137,1995-09-01,6.09609,124.81245,0,0,0,0,1,26,52,12,0,0,0,0,0,0,0,0,75,16,0,0,2,89,0,0,0,0,91,0,0,0,0,91,0,0,1
142,1995-09-01,8.47834,125.55775,0,0,0,0,0,2,72,1,0,0,0,0,0,0,0,0,67,24,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
152,1995-09-01,6.01938,124.57794,0,0,0,0,4,26,34,8,17,0,0,0,0,0,0,0,81,10,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
153,1995-09-01,0.86404,122.75452,0,0,0,0,0,8,81,2,0,0,0,0,0,0,0,0,70,21,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
183,1995-09-01,0.67067,122.31132,0,0,0,0,18,20,37,6,5,0,0,0,0,0,0,0,63,28,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
185,1995-09-01,9.71795,125.43605,0,0,0,0,1,1,59,15,6,0,0,0,0,0,0,3,83,5,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
190,1995-09-01,7.77233,124.64095,0,0,0,0,0,9,30,28,2,0,0,0,0,0,0,0,64,27,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
191,1995-09-01,7.52578,124.54375,0,0,0,0,0,22,35,26,6,0,0,0,0,0,0,0,64,27,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
209,1995-09-01,0.73941,121.95436,0,0,0,0,16,27,47,1,0,0,0,0,0,0,0,0,54,37,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
223,1995-09-01,1.07295,121.6813,0,0,0,0,0,9,63,6,10,0,0,0,0,0,0,0,71,16,4,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
225,1995-09-01,0.53362,121.51308,0,0,0,0,1,16,62,3,2,0,0,0,0,0,0,0,49,42,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
232,1995-09-01,0.69905,121.37634,0,0,0,0,2,36,49,3,0,0,0,0,0,0,0,0,52,39,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
242,1995-09-01,8.11756,123.73778,0,0,0,0,0,23,53,9,5,0,0,0,0,0,0,0,34,52,5,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
0,1995-09-01,9.75935,124.1752,0,0,0,0,6,22,51,5,0,0,0,0,0,0,0,0,77,14,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
260,1995-09-01,7.53473,123.31063,0,0,0,0,0,15,66,9,1,0,0,0,0,0,0,0,24,38,29,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
267,1995-09-01,11.85389,124.83087,0,0,0,0,2,0,57,9,16,0,0,0,0,0,0,0,48,42,1,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
269,1995-09-01,9.92453,124.03024,0,0,0,0,1,6,77,0,0,0,0,0,0,0,0,0,80,11,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
299,1995-09-01,35.26666,140.3828,0,91,0,0,4,36,46,5,0,0,0,0,0,0,0,0,60,25,6,0,6,71,14,0,0,0,91,0,0,0,0,90,1,0,0
303,1995-09-01,9.1843,123.11134,0,0,0,0,1,27,54,7,1,0,0,0,0,0,0,0,82,9,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
304,1995-09-01,7.93528,122.64238,0,0,0,0,5,6,57,20,2,0,0,0,0,0,0,0,64,23,3,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
330,1995-09-01,12.1935,123.88918,0,0,0,0,0,8,55,27,1,0,0,0,0,0,0,0,77,14,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
356,1995-09-01,10.65336,123.05347,0,0,0,0,1,35,47,1,0,0,0,0,0,0,0,0,68,23,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
358,1995-09-01,10.16098,122.86187,0,0,0,0,0,10,57,12,11,0,0,0,0,0,0,0,63,28,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
359,1995-09-01,9.91373,122.76681,0,0,0,0,3,25,41,10,12,0,0,0,0,0,0,0,65,26,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
383,1995-09-01,36.72474,140.16225,0,0,0,0,0,15,75,0,0,0,0,0,0,0,0,0,57,21,13,0,1,72,18,0,0,0,91,0,0,0,0,89,2,0,1
406,1995-09-01,37.40054,140.5853,0,91,0,0,0,25,66,0,0,0,0,0,0,0,0,0,57,21,12,0,0,76,15,0,0,0,91,0,0,0,0,89,2,0,0
419,1995-09-01,35.26069,138.12213,0,91,0,0,0,32,59,0,0,0,0,0,0,0,0,0,57,26,8,0,3,74,14,0,0,0,91,0,0,0,0,89,2,0,0
427,1995-09-01,11.37443,122.70316,0,0,0,0,0,0,81,9,0,0,0,0,0,0,0,0,76,15,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
428,1995-09-01,11.1289,122.60728,0,0,0,0,0,12,56,22,0,0,0,0,0,0,0,0,71,20,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
436,1995-09-01,37.11081,139.83795,0,91,0,0,0,0,82,8,0,0,0,0,0,0,0,0,58,21,12,0,0,74,17,0,0,0,91,0,0,0,0,89,2,0,0
442,1995-09-01,36.12289,138.69705,0,91,0,0,0,0,14,0,5,0,0,0,0,0,0,0,64,17,10,0,3,76,12,0,0,0,91,0,0,0,0,89,2,0,0
