date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1991-12-01,29.69,9.79,10.68,0.36,0.05,0.84,11.46,3.85,1.71,0.02,1.53,17.87,3.95,0.63,0.04,2.54,77.13,9.15,1.73,0.0,0.76,83.26,6.87,0.02,0.0,0.14,90.46,0.41,0.0,0.0,0.24,89.43,1.32,0.0
1992-03-01,13.15,25.31,12.48,0.14,0.23,3.46,31.36,6.86,2.4,0.16,1.72,16.78,4.3,0.77,0.16,6.46,67.4,14.76,2.67,0.71,13.78,60.44,16.89,0.16,1.26,16.49,62.56,10.12,1.42,1.38,14.47,61.74,12.87,1.24
1992-06-01,0.24,49.39,1.32,0.13,0.43,4.71,39.6,8.11,2.92,0.0,0.0,1.03,0.29,0.15,0.17,3.06,72.3,12.49,3.25,0.0,2.07,88.32,1.61,0.0,0.0,0.18,91.48,0.34,0.0,0.0,0.57,91.05,0.39,0.0
1992-09-01,8.77,30.9,10.57,0.29,0.39,3.28,33.69,7.64,3.03,0.0,0.12,5.29,1.95,0.93,0.09,7.43,68.27,10.88,3.58,0.0,6.2,73.31,11.09,0.39,0.0,0.67,87.93,2.39,0.0,0.0,1.32,85.65,4.02,0.01
1992-12-01,31.38,9.05,8.92,0.37,0.08,2.18,25.84,5.82,1.58,0.06,2.1,21.2,5.24,1.63,0.06,5.02,74.66,7.3,2.22,0.0,0.52,82.92,6.46,0.0,0.0,0.32,89.39,0.28,0.01,0.0,0.53,88.03,1.43,0.0
1993-03-01,13.03,25.0,12.46,0.2,0.22,3.93,32.65,7.18,2.43,0.13,2.07,15.52,4.49,1.34,0.73,16.55,63.18,8.52,2.04,0.72,13.74,60.2,17.13,0.12,1.18,14.48,63.03,11.89,1.27,1.49,13.96,61.92,13.43,0.93
1993-06-01,0.11,49.42,1.02,0.14,0.41,4.46,41.97,7.95,2.51,0.0,0.0,0.8,0.1,0.05,0.4,6.46,76.2,7.11,1.57,0.0,1.78,89.0,1.22,0.0,0.0,0.04,91.35,0.62,0.0,0.0,0.06,91.13,0.81,0.0
1993-09-01,9.17,30.24,10.45,0.28,0.31,3.03,34.78,7.15,2.56,0.0,0.1,4.76,2.25,0.95,0.1,8.9,69.92,9.3,2.16,0.0,5.6,73.03,11.94,0.41,0.0,1.94,86.33,2.73,0.0,0.0,2.43,84.91,3.64,0.01
1993-12-01,30.63,8.79,8.54,0.36,0.09,1.71,22.38,5.85,1.84,0.02,1.82,22.77,5.26,1.15,0.09,8.69,72.69,6.81,1.37,0.0,0.67,82.86,6.38,0.0,0.0,0.57,89.22,0.2,0.0,0.0,1.24,87.71,1.05,0.0
1994-03-01,13.29,24.42,10.82,0.17,0.24,3.16,30.47,6.86,2.41,0.18,2.24,16.46,3.82,0.82,2.18,16.35,62.51,8.42,1.5,0.99,14.76,60.36,15.67,0.14,0.82,13.54,62.84,13.24,1.45,1.28,12.91,62.85,13.81,1.02
