date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1992-06-01,0.24,49.39,1.32,0.13,0.43,4.71,39.6,8.11,2.92,0.0,0.0,1.03,0.29,0.15,0.17,3.06,72.3,12.49,3.25,0.0,2.07,88.32,1.61,0.0,0.0,0.18,91.48,0.34,0.0,0.0,0.57,91.05,0.39,0.0
1993-06-01,0.11,49.42,1.02,0.14,0.41,4.46,41.97,7.95,2.51,0.0,0.0,0.8,0.1,0.05,0.4,6.46,76.2,7.11,1.57,0.0,1.78,89.0,1.22,0.0,0.0,0.04,91.35,0.62,0.0,0.0,0.06,91.13,0.81,0.0
1994-06-01,0.12,47.4,1.06,0.13,0.51,4.64,38.84,7.95,2.84,0.0,0.0,0.35,0.07,0.03,0.55,5.71,73.01,9.18,2.93,0.0,2.35,88.55,1.09,0.0,0.0,0.03,90.81,1.15,0.0,0.0,0.07,90.7,1.22,0.0
1995-06-01,0.1,49.73,1.13,0.11,0.69,5.79,39.59,6.83,2.32,0.0,0.0,0.9,0.15,0.05,0.1,5.03,81.59,4.6,0.53,0.0,1.75,89.04,1.21,0.0,0.0,0.06,91.44,0.5,0.0,0.0,0.1,91.02,0.87,0.0
1996-06-01,0.18,49.44,1.34,0.11,0.41,5.17,43.25,6.5,1.97,0.0,0.0,0.05,0.02,0.02,0.1,5.35,78.03,7.42,0.74,0.0,1.95,88.59,1.46,0.0,0.0,0.14,91.45,0.41,0.0,0.0,0.2,90.79,1.0,0.0
1997-06-01,0.14,49.62,1.21,0.11,0.29,4.63,45.5,6.31,1.64,0.0,0.0,0.41,0.08,0.02,0.14,6.53,76.29,8.28,0.6,0.0,1.69,89.21,1.1,0.0,0.0,0.05,91.64,0.31,0.0,0.0,0.11,91.0,0.89,0.0
1998-06-01,0.09,49.86,1.01,0.11,0.47,4.92,44.53,6.85,1.97,0.0,0.0,0.05,0.02,0.01,0.12,5.21,78.01,7.78,0.69,0.0,1.74,89.29,0.97,0.0,0.0,0.06,91.23,0.71,0.0,0.0,0.11,90.13,1.76,0.0
1999-06-01,0.11,49.66,1.2,0.11,0.22,4.34,45.41,7.15,1.92,0.0,0.0,0.37,0.11,0.03,0.1,5.89,77.53,7.63,0.61,0.0,1.54,89.57,0.89,0.0,0.0,0.08,91.35,0.56,0.0,0.0,0.2,90.39,1.41,0.0
2000-06-01,0.11,49.6,1.25,0.11,0.22,3.89,44.77,7.34,2.13,0.0,0.0,0.36,0.01,0.0,0.05,4.23,79.62,7.21,0.59,0.0,1.78,88.9,1.32,0.0,0.0,0.06,91.37,0.57,0.0,0.0,0.17,90.55,1.28,0.0
2001-06-01,0.09,49.78,1.09,0.11,0.23,4.17,44.37,7.57,2.39,0.0,0.0,0.63,0.09,0.02,0.06,2.64,78.12,10.49,0.54,0.0,1.74,89.26,1.01,0.0,0.0,0.02,91.13,0.84,0.0,0.0,0.06,90.43,1.51,0.0
2002-06-01,0.08,49.66,1.22,0.11,0.27,3.92,43.1,8.51,2.86,0.0,0.0,0.6,0.09,0.06,0.02,3.41,76.59,11.07,0.72,0.0,1.83,89.24,0.93,0.0,0.0,0.07,89.74,2.16,0.04,0.0,0.07,90.7,1.23,0.0
2003-06-01,0.12,49.61,1.23,0.11,0.34,4.64,43.49,7.56,2.21,0.0,0.0,0.64,0.05,0.02,0.05,3.37,80.97,6.66,0.71,0.0,1.47,89.46,1.08,0.0,0.0,0.06,89.74,2.18,0.03,0.0,0.19,90.29,1.52,0.0
2004-06-01,0.14,49.6,1.22,0.11,0.26,4.29,44.16,7.48,2.23,0.0,0.0,0.57,0.02,0.01,0.06,5.1,78.61,7.18,0.69,0.0,1.59,89.11,1.29,0.0,0.0,0.08,90.26,1.64,0.02,0.0,0.17,90.94,0.89,0.0
2005-06-01,0.06,49.83,1.06,0.13,0.25,4.48,44.63,6.75,1.79,0.0,0.0,0.0,0.0,0.0,0.04,5.95,78.38,6.98,0.5,0.0,1.45,89.61,0.94,0.0,0.0,0.02,89.97,1.97,0.04,0.0,0.06,90.75,1.2,0.0
2006-06-01,0.08,49.86,1.01,0.13,0.25,4.24,43.88,7.17,2.08,0.0,0.0,0.0,0.0,0.0,0.09,4.71,67.17,18.36,1.42,0.0,1.61,89.47,0.92,0.0,0.0,0.04,89.92,2.01,0.03,0.0,0.08,90.37,1.55,0.0
2007-06-01,0.1,49.86,1.02,0.1,0.2,4.12,43.83,7.43,2.21,0.0,0.0,0.62,0.14,0.1,1.1,8.2,66.09,13.37,2.84,0.0,1.53,89.4,1.06,0.0,0.0,0.08,89.23,2.63,0.06,0.0,0.21,90.16,1.63,0.0
