date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1992-09-01,8.77,30.9,10.57,0.29,0.39,3.28,33.69,7.64,3.03,0.0,0.12,5.29,1.95,0.93,0.09,7.43,68.27,10.88,3.58,0.0,6.2,73.31,11.09,0.39,0.0,0.67,87.93,2.39,0.0,0.0,1.32,85.65,4.02,0.01
1993-09-01,9.17,30.24,10.45,0.28,0.31,3.03,34.78,7.15,2.56,0.0,0.1,4.76,2.25,0.95,0.1,8.9,69.92,9.3,2.16,0.0,5.6,73.03,11.94,0.41,0.0,1.94,86.33,2.73,0.0,0.0,2.43,84.91,3.64,0.01
1994-09-01,7.23,31.11,9.61,0.25,0.43,3.75,34.54,6.07,2.13,0.0,0.17,4.77,1.34,0.48,0.11,5.28,70.39,10.37,3.76,0.0,6.3,72.79,11.46,0.43,0.0,0.43,87.07,3.5,0.0,0.0,1.08,84.27,5.63,0.02
1995-09-01,7.42,31.69,11.17,0.23,0.38,3.36,35.51,6.55,2.12,0.0,0.1,5.26,1.45,0.43,0.01,6.57,73.5,8.93,1.67,0.0,6.15,72.26,12.11,0.47,0.0,0.2,86.94,3.86,0.0,0.0,0.81,84.53,5.61,0.06
1996-09-01,8.29,31.63,10.37,0.23,0.39,4.05,37.14,6.15,1.91,0.0,0.12,4.77,1.74,0.56,0.03,6.33,73.14,9.67,1.54,0.0,6.28,72.69,11.59,0.43,0.0,0.48,88.04,2.48,0.0,0.0,1.15,85.92,3.91,0.02
1997-09-01,7.17,32.39,10.75,0.2,0.35,3.88,37.65,5.52,1.7,0.0,0.08,4.94,1.76,0.39,0.06,6.24,73.56,9.07,1.76,0.0,6.07,72.34,12.1,0.47,0.0,1.17,86.45,3.37,0.0,0.0,1.79,83.83,5.37,0.0
1998-09-01,8.48,31.67,10.17,0.2,0.35,3.8,36.83,6.35,1.95,0.0,0.09,4.68,2.22,0.7,0.03,4.15,74.06,10.55,1.82,0.0,5.66,72.57,12.35,0.41,0.0,1.29,85.96,3.74,0.01,0.0,1.99,83.07,5.9,0.04
1999-09-01,7.55,32.33,10.42,0.22,0.26,3.71,38.36,5.5,1.5,0.0,0.01,3.7,2.18,0.69,0.0,3.89,76.33,9.15,1.38,0.0,5.52,73.08,11.84,0.54,0.0,0.59,86.81,3.59,0.0,0.0,1.43,83.89,5.67,0.01
2000-09-01,8.39,31.01,10.9,0.22,0.29,3.16,37.5,5.88,1.74,0.0,0.07,3.75,1.99,0.74,0.0,3.27,70.97,13.81,2.41,0.0,5.62,72.37,12.63,0.38,0.0,1.07,86.62,3.3,0.0,0.0,1.72,84.94,4.32,0.03
2001-09-01,7.07,32.19,11.05,0.21,0.26,3.19,37.93,6.15,1.83,0.0,0.08,4.77,1.72,0.49,0.14,6.08,71.51,11.18,1.74,0.0,5.8,72.85,11.97,0.37,0.0,0.24,87.13,3.61,0.01,0.0,0.89,85.3,4.77,0.05
2002-09-01,8.25,29.9,12.16,0.21,0.32,3.42,35.48,6.63,2.32,0.0,0.06,5.65,1.54,0.5,0.0,5.57,72.37,10.98,1.74,0.0,5.6,72.37,12.59,0.43,0.0,0.33,84.41,6.23,0.03,0.0,0.98,84.78,5.21,0.03
2003-09-01,6.87,32.63,10.82,0.2,0.27,3.43,37.62,6.06,1.79,0.0,0.02,4.03,1.66,0.5,0.01,4.25,76.83,8.72,0.94,0.0,5.38,72.25,12.86,0.5,0.0,0.7,83.81,6.38,0.11,0.0,1.41,83.44,6.02,0.13
2004-09-01,6.99,32.5,10.83,0.2,0.23,3.26,37.91,6.05,1.73,0.0,0.03,4.85,1.97,0.41,0.01,7.3,74.42,8.07,0.99,0.0,6.01,72.04,12.52,0.42,0.0,0.21,85.63,5.09,0.08,0.0,0.72,84.89,5.38,0.01
2005-09-01,6.36,33.68,10.26,0.22,0.26,3.48,38.36,5.28,1.39,0.0,0.01,4.14,1.29,0.41,0.01,5.55,77.04,7.52,0.72,0.0,5.72,72.55,12.27,0.45,0.0,0.15,84.09,6.64,0.12,0.0,0.59,83.85,6.53,0.03
2006-09-01,7.16,32.38,10.78,0.2,0.27,3.63,37.37,5.12,1.62,0.0,0.06,4.13,1.6,0.79,0.03,6.63,65.63,14.96,3.36,0.0,5.8,72.11,12.57,0.5,0.0,0.88,84.38,5.7,0.04,0.0,1.45,83.53,5.99,0.03
2007-09-01,6.96,31.79,11.56,0.21,0.22,3.15,37.62,5.67,1.58,0.0,0.04,4.51,1.55,0.31,0.03,9.16,63.36,14.72,3.31,0.0,5.22,72.3,13.0,0.46,0.0,0.28,84.72,5.88,0.12,0.0,0.87,84.41,5.67,0.05
