startdate,lat,lon,frozen,thawed,trans,itrans
1978-12-01,37.98058,140.0957,31,54,5,0
1979-03-01,37.98058,140.0957,0,92,0,0
1979-06-01,37.98058,140.0957,0,92,0,0
1979-09-01,37.98058,140.0957,0,91,0,0
1979-12-01,37.98058,140.0957,0,80,11,0
1980-03-01,37.98058,140.0957,0,86,6,0
1980-06-01,37.98058,140.0957,0,92,0,0
1980-09-01,37.98058,140.0957,0,91,0,0
1980-12-01,37.98058,140.0957,0,84,6,0
1981-03-01,37.98058,140.0957,0,68,24,0
1981-06-01,37.98058,140.0957,0,92,0,0
1981-09-01,37.98058,140.0957,0,91,0,0
1981-12-01,37.98058,140.0957,0,86,4,0
1982-03-01,37.98058,140.0957,0,92,0,0
1982-06-01,37.98058,140.0957,0,92,0,0
1982-09-01,37.98058,140.0957,0,91,0,0
1982-12-01,37.98058,140.0957,0,90,0,0
1983-03-01,37.98058,140.0957,0,88,4,0
1983-06-01,37.98058,140.0957,0,92,0,0
1983-09-01,37.98058,140.0957,0,91,0,0
1983-12-01,37.98058,140.0957,0,86,5,0
1984-03-01,37.98058,140.0957,0,75,17,0
1984-06-01,37.98058,140.0957,0,92,0,0
1984-09-01,37.98058,140.0957,0,91,0,0
1984-12-01,37.98058,140.0957,0,87,3,0
1985-03-01,37.98058,140.0957,0,81,7,4
1985-06-01,37.98058,140.0957,0,92,0,0
1985-09-01,37.98058,140.0957,0,91,0,0
1985-12-01,37.98058,140.0957,0,66,18,6
1986-03-01,37.98058,140.0957,0,88,4,0
1986-06-01,37.98058,140.0957,0,92,0,0
1986-09-01,37.98058,140.0957,0,91,0,0
1986-12-01,37.98058,140.0957,0,87,3,0
1987-03-01,37.98058,140.0957,0,91,1,0
1987-06-01,37.98058,140.0957,0,92,0,0
1987-09-01,37.98058,140.0957,0,91,0,0
1987-12-01,37.98058,140.0957,0,89,2,0
1988-03-01,37.98058,140.0957,0,90,2,0
1988-06-01,37.98058,140.0957,0,92,0,0
1988-09-01,37.98058,140.0957,0,91,0,0
1988-12-01,37.98058,140.0957,0,79,11,0
1989-03-01,37.98058,140.0957,0,87,5,0
1989-06-01,37.98058,140.0957,0,92,0,0
1989-09-01,37.98058,140.0957,0,91,0,0
1989-12-01,37.98058,140.0957,0,72,18,0
1990-03-01,37.98058,140.0957,0,92,0,0
1990-06-01,37.98058,140.0957,0,92,0,0
1990-09-01,37.98058,140.0957,0,91,0,0
1990-12-01,37.98058,140.0957,0,84,6,0
1991-03-01,37.98058,140.0957,0,86,6,0
1991-06-01,37.98058,140.0957,0,92,0,0
1991-09-01,37.98058,140.0957,0,91,0,0
1991-12-01,37.98058,140.0957,0,79,12,0
1992-03-01,37.98058,140.0957,0,88,4,0
1992-06-01,37.98058,140.0957,0,92,0,0
1992-09-01,37.98058,140.0957,0,91,0,0
1992-12-01,37.98058,140.0957,0,82,8,0
1993-03-01,37.98058,140.0957,0,87,5,0
1993-06-01,37.98058,140.0957,0,92,0,0
1993-09-01,37.98058,140.0957,0,91,0,0
1993-12-01,37.98058,140.0957,0,90,0,0
1994-03-01,37.98058,140.0957,0,80,12,0
1994-06-01,37.98058,140.0957,0,92,0,0
1994-09-01,37.98058,140.0957,0,91,0,0
1994-12-01,37.98058,140.0957,1,81,7,1
1995-03-01,37.98058,140.0957,0,85,7,0
1995-06-01,37.98058,140.0957,0,92,0,0
1995-09-01,37.98058,140.0957,0,91,0,0
1995-12-01,37.98058,140.0957,1,72,18,0
1996-03-01,37.98058,140.0957,0,87,5,0
1996-06-01,37.98058,140.0957,0,92,0,0
1996-09-01,37.98058,140.0957,0,91,0,0
1996-12-01,37.98058,140.0957,0,88,2,0
1997-03-01,37.98058,140.0957,0,82,10,0
1997-06-01,37.98058,140.0957,0,92,0,0
1997-09-01,37.98058,140.0957,0,91,0,0
1997-12-01,37.98058,140.0957,0,76,14,0
1998-03-01,37.98058,140.0957,0,85,7,0
1998-06-01,37.98058,140.0957,0,92,0,0
1998-09-01,37.98058,140.0957,0,91,0,0
1998-12-01,37.98058,140.0957,0,77,13,0
1999-03-01,37.98058,140.0957,0,83,9,0
1999-06-01,37.98058,140.0957,0,92,0,0
1999-09-01,37.98058,140.0957,0,91,0,0
1999-12-01,37.98058,140.0957,0,89,2,0
2000-03-01,37.98058,140.0957,0,87,5,0
2000-06-01,37.98058,140.0957,0,92,0,0
2000-09-01,37.98058,140.0957,0,91,0,0
2000-12-01,37.98058,140.0957,0,86,4,0
2001-03-01,37.98058,140.0957,0,83,9,0
2001-06-01,37.98058,140.0957,0,92,0,0
2001-09-01,37.98058,140.0957,0,91,0,0
2001-12-01,37.98058,140.0957,0,81,9,0
2002-03-01,37.98058,140.0957,0,92,0,0
2002-06-01,37.98058,140.0957,0,92,0,0
2002-09-01,37.98058,140.0957,0,91,0,0
2002-12-01,37.98058,140.0957,0,78,11,1
2003-03-01,37.98058,140.0957,0,84,8,0
2003-06-01,37.98058,140.0957,0,92,0,0
2003-09-01,37.98058,140.0957,0,91,0,0
2003-12-01,37.98058,140.0957,0,87,4,0
2004-03-01,37.98058,140.0957,0,78,14,0
2004-06-01,37.98058,140.0957,0,92,0,0
2004-09-01,37.98058,140.0957,0,91,0,0
2004-12-01,37.98058,140.0957,0,85,5,0
2005-03-01,37.98058,140.0957,0,80,12,0
2005-06-01,37.98058,140.0957,0,92,0,0
2005-09-01,37.98058,140.0957,0,91,0,0
2005-12-01,37.98058,140.0957,2,73,15,0
2006-03-01,37.98058,140.0957,0,86,6,0
2006-06-01,37.98058,140.0957,0,92,0,0
2006-09-01,37.98058,140.0957,0,91,0,0
2006-12-01,37.98058,140.0957,0,84,6,0
2007-03-01,37.98058,140.0957,0,90,2,0
2007-06-01,37.98058,140.0957,0,92,0,0
2007-09-01,37.98058,140.0957,0,91,0,0
