index,lat,lon
0,6.93659,158.23016
1,19.06227,-155.78111
2,19.20028,-155.52383
3,19.31443,-155.70117
4,19.42772,-155.87901
5,19.33652,-155.2657
6,19.4517,-155.44298
7,19.6795,-155.79903
8,19.7921,-155.97781
9,19.47099,-155.0067
10,19.58721,-155.1839
11,19.70258,-155.3616
12,19.81709,-155.53983
13,19.93073,-155.71854
14,21.32913,-158.08727
15,22.02062,-159.39676
16,22.11585,-159.58572
17,19.83736,-155.10158
18,19.95291,-155.27972
19,20.06759,-155.45839
20,20.62809,-156.35928
21,21.47965,-157.82678
22,21.58215,-158.01245
23,20.76841,-156.09795
24,20.87896,-156.2796
25,13.43787,144.69498
26,7.49447,134.51651
27,0.47375,128.53482
28,1.41228,128.71022
29,1.16609,128.6095
30,0.42231,128.31
31,1.3626,128.48343
32,1.11553,128.38326
33,0.86759,128.28352
34,0.61878,128.18423
35,1.31114,128.25685
36,1.06319,128.15723
37,0.81436,128.05803
38,0.56467,127.95928
39,0.3141,127.86096
40,0.06265,127.76308
41,2.48924,128.53255
42,2.24467,128.43123
43,0.75937,127.83276
44,0.50879,127.73455
45,2.43864,128.30362
46,1.69976,128.00272
47,1.45177,127.90331
48,1.20291,127.80434
49,0.7026,127.60771
50,1.89277,127.87498
51,1.64475,127.77568
52,1.39587,127.67683
53,1.14613,127.57841
54,1.83686,127.64762
55,1.58796,127.54888
56,4.26985,126.77048
57,1.54404,125.1244
58,1.2863,125.03165
59,1.46685,124.89941
60,1.20823,124.80724
61,0.94875,124.71548
62,3.68527,125.51852
63,1.38789,124.67474
64,1.12839,124.58315
65,0.86803,124.49198
66,0.6068,124.40123
67,1.04678,124.35938
68,0.78554,124.26879
69,0.52342,124.17863
70,7.24674,126.52885
71,0.70127,124.04594
72,0.43827,123.95635
73,7.66626,126.49318
74,7.42514,126.39159
75,7.18326,126.29048
76,6.94061,126.18986
77,6.6972,126.08972
78,0.61523,123.82342
79,0.35135,123.73441
80,7.84395,126.35528
81,7.60273,126.25384
82,7.36075,126.15289
83,7.11801,126.05241
84,6.13935,125.65533
85,5.89275,125.55724
86,5.64537,125.45962
87,0.7913,123.69007
88,0.52742,123.60123
89,8.26139,126.31866
90,8.02081,126.21689
91,7.77949,126.1156
92,7.53741,126.0148
93,7.29457,125.91449
94,6.31557,125.51804
95,6.06889,125.4201
96,5.82143,125.32265
97,0.7026,123.46764
98,0.43783,123.3794
99,8.43754,126.17962
100,8.19686,126.078
101,7.95543,125.97687
102,7.71325,125.87623
103,7.47032,125.77608
104,7.22662,125.67641
105,6.49095,125.38027
106,6.24418,125.28251
107,0.8769,123.33364
108,0.61212,123.24557
109,8.85292,126.14204
110,8.61287,126.04008
111,8.37209,125.93862
112,8.13055,125.83765
113,7.88827,125.73717
114,7.64523,125.63718
115,7.40144,125.53768
116,7.15689,125.43865
117,6.91157,125.3401
118,6.66549,125.24203
119,6.41864,125.14444
120,6.17102,125.04731
121,5.92263,124.95065
122,0.78554,123.11134
123,0.51988,123.02386
124,9.26697,126.10414
125,9.02755,126.00185
126,8.78739,125.90005
127,8.5465,125.79875
128,8.30486,125.69794
129,8.06247,125.59763
130,7.81933,125.4978
131,7.57544,125.39847
132,7.33079,125.29961
133,7.08538,125.20123
134,6.83921,125.10332
135,6.59227,125.0059
136,6.34457,124.90894
137,6.09609,124.81245
138,0.6924,122.8894
139,9.20137,125.86115
140,8.9611,125.75952
141,8.72009,125.65839
142,8.47834,125.55775
143,8.23584,125.4576
144,7.9926,125.35794
145,7.74861,125.25877
146,7.50386,125.16008
147,7.25836,125.06187
148,7.0121,124.96415
149,6.76507,124.86689
150,6.51728,124.7701
151,6.26872,124.67379
152,6.01938,124.57794
153,0.86404,122.75452
154,0.59749,122.66783
155,9.37438,125.71996
156,9.13399,125.61849
157,8.89286,125.51752
158,8.651,125.41705
159,8.4084,125.31708
160,8.16505,125.21759
161,7.92095,125.11859
162,7.67611,125.02008
163,7.43051,124.92204
164,7.18415,124.82449
165,6.93704,124.72741
166,6.68916,124.6308
167,6.44051,124.53466
168,6.1911,124.43899
169,0.76824,122.53274
170,9.54657,125.57825
171,8.82285,125.27587
172,8.58013,125.17607
173,8.33668,125.07676
174,8.09248,124.97794
175,7.84753,124.87959
176,7.60183,124.78174
177,7.35538,124.68436
178,7.10817,124.58746
179,6.8602,124.49103
180,6.61147,124.39507
181,6.36197,124.29958
182,0.93811,122.39723
183,0.67067,122.31132
184,10.19702,125.63981
185,9.71795,125.43605
186,8.75105,125.03457
187,8.50748,124.93543
188,8.26318,124.83678
189,8.01813,124.73862
190,7.77233,124.64095
191,7.52578,124.54375
192,7.27848,124.44703
193,7.03042,124.35078
194,6.7816,124.255
195,6.53201,124.15969
196,0.83964,122.1756
197,0.57132,122.09029
198,8.92114,124.89257
199,8.67747,124.79362
200,8.43306,124.69515
201,8.1879,124.59718
202,7.942,124.49968
203,7.69535,124.40266
204,7.44795,124.30613
205,7.1998,124.21007
206,6.95089,124.11447
207,6.70121,124.01935
208,1.00774,122.03947
209,0.73941,121.95436
210,0.4702,121.86965
211,8.35685,124.45524
212,8.11084,124.35793
213,7.86409,124.2611
214,7.6166,124.16475
215,0.90662,121.81803
216,0.6374,121.73352
217,11.42148,125.51698
218,11.18405,125.41384
219,10.4675,125.10751
220,10.22722,125.00642
221,8.03201,124.11906
222,7.78441,124.0229
223,1.07295,121.6813
224,0.80372,121.59698
225,0.53362,121.51308
226,11.59029,125.37184
227,11.35272,125.26888
228,10.63576,124.9631
229,10.39535,124.8622
230,7.9514,123.88058
231,0.96916,121.46005
232,0.69905,121.37634
233,12.23162,125.43331
234,11.9953,125.32948
235,11.75829,125.22618
236,11.52058,125.1234
237,11.28216,125.02114
238,11.04304,124.9194
239,10.80321,124.81818
240,9.83675,124.41837
241,8.36536,123.83355
242,8.11756,123.73778
243,7.86902,123.64248
244,1.13371,121.32272
245,0.86359,121.23921
246,0.59261,121.15611
247,12.39911,125.28675
248,12.16265,125.18311
249,11.92549,125.07999
250,11.68764,124.97739
251,11.44908,124.87533
252,11.20982,124.77378
253,10.96985,124.67274
254,10.00288,124.2737
255,9.75935,124.1752
256,8.5308,123.69007
257,8.2829,123.5945
258,8.03425,123.4994
259,7.78486,123.40478
260,7.53473,123.31063
261,1.02726,121.10168
262,0.75626,121.0188
263,0.4844,120.9363
264,12.56581,125.13965
265,12.3292,125.03619
266,12.09189,124.93327
267,11.85389,124.83087
268,11.13568,124.5268
269,9.92453,124.03024
270,9.68016,123.93243
271,8.4474,123.45074
272,8.19865,123.35584
273,7.94916,123.26143
274,7.69893,123.16748
275,1.19005,120.96375
276,0.91904,120.88108
277,0.64716,120.7988
278,12.49494,124.88876
279,12.25748,124.78603
280,12.01933,124.68382
281,11.54095,124.48099
282,11.3007,124.38035
283,10.33268,123.98289
284,8.36223,123.21181
285,8.11264,123.11761
286,7.8623,123.02386
287,7.61123,122.9306
288,0.80904,120.6609
289,0.53629,120.57922
290,12.42227,124.63825
291,12.18397,124.53625
292,10.73956,123.93513
293,10.49636,123.83673
294,10.25245,123.73883
295,8.27528,122.97331
296,8.02485,122.87978
297,7.77367,122.78672
298,0.69728,120.44115
299,35.26666,140.3828
300,12.34781,124.38815
301,9.92498,123.39849
302,9.43191,123.20657
303,9.1843,123.11134
304,7.93528,122.64238
305,0.85739,120.30268
306,0.58374,120.22184
307,0.30922,120.14139
308,0.03382,120.06132
309,35.78487,140.60617
310,35.62376,140.41553
311,35.46189,140.22592
312,35.29926,140.03737
313,35.13587,139.84984
314,10.5771,123.44543
315,10.08665,123.25196
316,9.84035,123.15597
317,9.59334,123.06047
318,9.34561,122.96545
319,7.84395,122.40541
320,7.5911,122.31371
321,7.3375,122.22248
322,7.08315,122.13171
323,6.57219,121.95152
324,0.46843,120.00297
325,0.19303,119.92313
326,35.98028,140.44865
327,35.81877,140.25781
328,35.65651,140.06802
329,12.67306,124.09038
330,12.1935,123.88918
331,11.95269,123.78937
332,10.7382,123.29797
333,10.4932,123.20121
334,10.24749,123.10494
335,10.00108,123.00916
336,9.75395,122.91388
337,9.5061,122.81908
338,7.75085,122.16888
339,7.49715,122.07787
340,7.24271,121.98731
341,36.3362,140.48218
342,36.17507,140.29008
343,36.01316,140.09904
344,35.8505,139.90906
345,35.68708,139.72014
346,35.5229,139.53226
347,35.35796,139.34543
348,35.02586,138.97488
349,34.85869,138.79117
350,13.78602,124.34861
351,13.07338,124.04188
352,12.83447,123.9407
353,12.35462,123.73994
354,12.11366,123.64034
355,10.89849,123.15002
356,10.65336,123.05347
357,10.40752,122.95743
358,10.16098,122.86187
359,9.91373,122.76681
360,9.66576,122.67223
361,37.01078,140.90614
362,36.85155,140.71059
363,36.69155,140.51613
364,36.53078,140.32275
365,36.36924,140.13045
366,36.20694,139.93921
367,36.04387,139.74905
368,35.88005,139.55995
369,35.71547,139.3719
370,35.55014,139.18492
371,35.38407,138.99898
372,35.21725,138.81407
373,13.94727,124.19755
374,13.71023,124.09498
375,12.99509,123.7905
376,12.27382,123.49078
377,11.30251,123.0984
378,9.8246,122.52489
379,37.36482,140.94313
380,37.20596,140.74626
381,37.04633,140.55051
382,36.88592,140.35582
383,36.72474,140.16225
384,36.5628,139.96974
385,36.40009,139.77832
